tweet_id,rating_numerator,rating_denominator,name,stages,year,month,day,favorite_count,retweet_count,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
880221127280381952,12,10,Jesse,,2017,June,Thursday,27640,4436,1,Chihuahua,0.238525,True,Meerkat,0.104256,False,Clumber,0.0525802999999999,True
880095782870896641,11,10,,,2017,June,Wednesday,28150,4533,1,Miniature_Pinscher,0.120298,True,Rhodesian_Ridgeback,0.106395,True,Beagle,0.106073,True
879862464715927552,13,10,Romeo,,2017,June,Wednesday,22667,3642,3,Basset,0.813507,True,Beagle,0.146654,True,Cocker_Spaniel,0.00948502,True
879492040517615616,12,10,Bailey,,2017,June,Tuesday,23822,3323,1,German_Short-Haired_Pointer,0.479896,True,Vizsla,0.1243529999999999,True,Bath_Towel,0.0733202,False
879415818425184262,13,10,Duddles,,2017,June,Monday,107956,45849,1,English_Springer,0.383404,True,Boston_Bull,0.134967,True,Cardigan,0.110481,True
879376492567855104,12,10,Jack,,2017,June,Monday,17099,3261,1,Tricycle,0.663601,False,Labrador_Retriever,0.0334961,True,Pembroke,0.0188266,True
879008229531029506,13,10,Beau,,2017,June,Sunday,19317,2812,1,Vizsla,0.960513,True,Miniature_Pinscher,0.00943065,True,American_Staffordshire_Terrier,0.0087113,True
878776093423087618,13,10,Snoopy,puppo,2017,June,Sunday,19763,4319,2,Italian_Greyhound,0.734684,True,Whippet,0.1504869999999999,True,Ibizan_Hound,0.0397246,True
878281511006478336,13,10,Shadow,,2017,June,Friday,7913,1349,1,Basset,0.32042,True,Collie,0.215975,True,Appenzeller,0.1285069999999999,True
878057613040115712,14,10,Emmy,,2017,June,Friday,42876,7181,1,French_Bulldog,0.839097,True,Boston_Bull,0.0787993999999999,True,Toy_Terrier,0.0152433999999999,True
877736472329191424,13,10,Aja,,2017,June,Thursday,71144,17300,2,Chesapeake_Bay_Retriever,0.8379559999999999,True,Labrador_Retriever,0.0620342,True,Weimaraner,0.0405991,True
877611172832227328,14,10,,pupper,2017,June,Wednesday,0,83,1,Irish_Setter,0.3647289999999999,True,Golden_Retriever,0.202907,True,Irish_Terrier,0.107473,True
877556246731214848,12,10,Penny,,2017,June,Wednesday,23258,3994,1,Basset,0.995368,True,Welsh_Springer_Spaniel,0.00193621,True,Bathtub,0.000467919,False
877316821321428993,13,10,Dante,,2017,June,Wednesday,27907,5414,1,Saluki,0.5099670000000001,True,Italian_Greyhound,0.0904973,True,Golden_Retriever,0.0794058,True
877201837425926144,12,10,Nelly,,2017,June,Tuesday,27755,5880,1,Pembroke,0.93112,True,Cardigan,0.0686982,True,Basenji,8.17379e-05,True
876838120628539392,12,10,Ginger,pupper,2017,June,Monday,21125,3506,1,Bloodhound,0.575751,True,Redbone,0.24097,True,Tibetan_Mastiff,0.0889348,True
876484053909872640,13,10,Benedict,,2017,June,Sunday,19163,2511,1,Golden_Retriever,0.874566,True,Irish_Terrier,0.0373542,True,Chow,0.0167235999999999,True
876120275196170240,13,10,Venti,,2017,June,Saturday,28490,4903,1,Bernese_Mountain_Dog,0.534327,True,Saint_Bernard,0.346312,True,Greater_Swiss_Mountain_Dog,0.0949327,True
875747767867523072,13,10,Goose,,2017,June,Friday,25773,4497,1,Labrador_Retriever,0.799551,True,Chesapeake_Bay_Retriever,0.179975,True,Vizsla,0.0046176,True
875144289856114688,13,10,Nugget,,2017,June,Thursday,22185,5081,1,Siberian_Husky,0.245048,True,Pembroke,0.223716,True,Dingo,0.160753,False
875021211251597312,12,10,,,2017,June,Wednesday,26022,4922,2,West_Highland_White_Terrier,0.7143189999999999,True,Siberian_Husky,0.0919133,True,Great_Pyrenees,0.0460381999999999,True
874680097055178752,12,10,Cash,,2017,June,Tuesday,28439,4875,1,Labrador_Retriever,0.836052,True,Staffordshire_Bullterrier,0.0470690999999999,True,Beagle,0.0360071,True
874296783580663808,13,10,Jed,pupper,2017,June,Monday,26651,4308,1,Cocker_Spaniel,0.437216,True,Miniature_Poodle,0.2771909999999999,True,Toy_Poodle,0.157402,True
874057562936811520,12,10,,,2017,June,Monday,23134,4125,1,Flat-Coated_Retriever,0.8321770000000001,True,Black-And-Tan_Coonhound,0.0404369,True,Newfoundland,0.0282283,True
874012996292530176,13,10,Sebastian,puppo,2017,June,Sunday,35501,11007,2,Cardigan,0.806674,True,Pembroke,0.116622,True,Kelpie,0.0491819,True
873697596434513921,14,10,Walter,,2017,June,Sunday,0,12518,1,Laptop,0.153718,False,French_Bulldog,0.0999839,True,Printer,0.0771299,False
873580283840344065,13,10,,,2017,June,Saturday,24837,4143,1,Newfoundland,0.678537,True,Tibetan_Mastiff,0.244022,True,Chow,0.0485295,True
873213775632977920,12,10,Sierra,pupper,2017,June,Friday,7467,1667,1,Vizsla,0.6197819999999999,True,Bloodhound,0.338069,True,Chesapeake_Bay_Retriever,0.0126763,True
